Rank,Name,Course,Category
60,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
61,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
62,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
63,AIIMS  Bhubaneswar AT - Sijua  POST - DUMUDUMA  BHUBANESWAR-751019 ,MBBS,Open
64,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
65,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
66,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
67,AIIMS  Bhubaneswar AT - Sijua  POST - DUMUDUMA  BHUBANESWAR-751019 ,MBBS,Open
68,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
69,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
70,G.S. MEDICAL COLLEGE  MUMBAI ACHARYA DONDE MARG PAREL,MBBS,Open
71,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
72,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
73,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
74,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
75,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
76,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,SC
77,AIIMS  Bhubaneswar AT - Sijua  POST - DUMUDUMA  BHUBANESWAR-751019 ,MBBS,Open
78,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
79,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
80,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
81,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
82,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,EWS
83,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
84,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
85,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
86,Mahavir Medical College and Safdarjung Hospital New Delhi ,MBBS,Open
87,Mahavir Medical College and Safdarjung Hospital New Delhi ,MBBS,Open
88,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,EWS
89,Mahavir Medical College and Safdarjung Hospital New Delhi ,MBBS,Open
90,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
91,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
92,Mahavir Medical College and Safdarjung Hospital New Delhi ,MBBS,Open
93,Mahavir Medical College and Safdarjung Hospital New Delhi ,MBBS,Open
94,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,EWS
95,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
96,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
97,G.S. MEDICAL COLLEGE  MUMBAI ACHARYA DONDE MARG PAREL,MBBS,Open
98,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
99,Mahavir Medical College and Safdarjung Hospital New Delhi ,MBBS,Open
100,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
101,Mahavir Medical College and Safdarjung Hospital New Delhi ,MBBS,Open
102,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
103,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
104,Mahavir Medical College and Safdarjung Hospital New Delhi ,MBBS,Open
105,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,EWS
106,AIIMS  Jodhpur BASNI PHASE - II  JODHPUR-342005  Rajasthan  342005,MBBS,Open
107,Mahavir Medical College and Safdarjung Hospital New Delhi ,MBBS,Open
